asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-24","AGG",,,0.0412,,140692263103,0.0385,0.0422,,,0.0368,5.8,7.9,0.0003,,"BlackRock"
"2026-02-25","AGG",,,0.0412,,140913784802,0.0385,0.0421,,,0.0368,5.76,7.89,0.0003,,"BlackRock"
"2026-02-26","AGG",,,0.0411,,141223150177,0.0384,0.0417,,,0.0369,5.8,7.93,0.0003,,"BlackRock"
"2026-02-27","AGG",,,0.041,100.64,140424635193,0.0383,0.0426,,,0.0369,5.81,7.96,0.0003,,"BlackRock"
"2026-03-02","AGG",,,0.0413,100.56,140307963099,0.0418,0.0428,,,0.0369,5.8,7.97,0.0003,,"BlackRock"
"2026-03-03","AGG",,,0.0413,100.46,140221789938,0.0418,0.043,,,0.0369,5.81,7.97,0.0003,,"BlackRock"
"2026-03-04","AGG",,,0.0413,100.21,139878679307,0.0388,0.043,,,0.0369,5.81,7.97,0.0003,,"BlackRock"
"2026-03-05","AGG",,,0.0414,100.11,139736002625,0.0389,0.0435,,,0.0369,5.78,7.96,0.0003,,"BlackRock"
"2026-03-11","AGG",,,0.0417,99.32,138925958840,0.0391,,,,0.0369,5.78,8.01,0.0003,,"BlackRock"
"2026-03-12","AGG",,,0.0418,99.18,138734735083,0.0393,,,,0.0369,5.77,8,0.0003,,"BlackRock"
"2026-03-13","AGG",,,0.0419,99.55,139495276532,0.0393,,,,0.0369,5.76,7.97,0.0003,,"BlackRock"
"2026-03-19","AGG",,,0.0421,98.67,138279076286,0.0392,,,,0.0369,5.76,8.05,0.0003,,"BlackRock"
"2026-03-20","AGG",,,0.0426,99.03,139101079329,0.0395,,,,0.0369,5.76,8.03,0.0003,,"BlackRock"
"2026-03-23","AGG",,,0.0426,98.77,138697387621,0.0394,,,,0.0369,5.76,8.05,0.0003,,"BlackRock"
"2026-03-24","AGG",,,0.0428,99.17,139060113910,0.0395,,,,0.0369,5.76,8.03,0.0003,,"BlackRock"
"2026-03-25","AGG",,,0.0427,98.59,137952482615,0.0393,,,,0.0369,5.76,8.03,0.0003,,"BlackRock"
"2026-03-26","AGG",,,0.0431,98.56,137859510496,0.0396,,,,0.0369,5.76,8.06,0.0003,,"BlackRock"
"2026-03-27","AGG",,,0.0432,99.09,138413504990,0.0396,,,,0.0369,5.77,8.04,0.0003,,"BlackRock"
"2026-03-30","AGG",,,0.0432,99.3,138698183512,0.0394,,,,0.037,5.78,8.05,0.0003,,"BlackRock"
"2026-03-31","AGG",,,0.0431,98.97,137314911082,0.0393,,,,0.037,5.78,8.05,0.0003,,"BlackRock"
"2026-04-01","AGG",,,0.0433,99.17,137022451086,0.0428,,,,0.037,5.81,8.06,0.0003,,"BlackRock"
"2026-04-02","AGG",,,0.0433,99.09,136122896350,0.0394,,,,0.037,5.79,8.05,0.0003,,"BlackRock"
"2026-04-06","AGG",,,0.0436,99.17,136186118394,0.0395,,,,0.0369,5.8,8.05,0.0003,,"BlackRock"
"2026-04-07","AGG",,,0.0436,99.42,135644420929,0.0394,,,,0.0369,5.78,8.02,0.0003,,"BlackRock"
"2026-04-08","AGG",,,0.0435,99.42,135650223066,0.0393,,,,0.0369,5.77,8,0.0003,,"BlackRock"
"2026-04-09","AGG",,,0.0435,99.3,135478922479,0.0393,,,,0.0369,5.77,8,0.0003,,"BlackRock"
"2026-04-10","AGG",,,0.0436,99.49,135830321932,0.0394,,,,0.0369,5.76,7.98,0.0003,,"BlackRock"
"2026-04-13","AGG",,,0.0435,99.75,136203232756,0.0393,,,,0.0369,5.76,7.97,0.0003,,"BlackRock"
"2026-04-14","AGG",,,0.0434,99.61,136042589410,0.0392,,,,0.0369,5.76,7.97,0.0003,,"BlackRock"
"2026-04-15","AGG",,,0.0435,99.46,135848445881,0.0393,,,,0.0369,5.75,7.96,0.0003,,"BlackRock"
"2026-04-16","AGG",,,0.0436,99.84,136383667638,0.0393,,,,0.0369,5.75,7.94,0.0003,,"BlackRock"
"2026-04-17","AGG",,,0.0434,99.48,135925649264,0.0392,,,,0.0369,5.75,7.97,0.0003,,"BlackRock"
"2026-04-21","AGG",,,0.0435,99.58,136058141169,0.0393,,,,0.0369,5.75,7.97,0.0003,,"BlackRock"
"2026-04-22","AGG",,,0.0434,99.44,135878680283,0.0393,,,,0.0369,5.75,7.97,0.0003,,"BlackRock"
"2026-04-23","AGG",,,0.0435,99.58,136094562005,0.0393,,,,0.0369,5.73,7.95,0.0003,,"BlackRock"
"2026-04-24","AGG",,,0.0434,99.46,135937406490,0.0393,,,,0.0369,5.72,7.95,0.0003,,"BlackRock"
"2026-04-27","AGG",,,0.0434,99.35,135757062466,0.0393,,,,0.0369,5.74,7.98,0.0003,,"BlackRock"
"2026-04-28","AGG",,,0.0434,98.96,135214174892,0.0394,,,,0.0369,5.74,8.01,0.0003,,"BlackRock"
"2026-04-29","AGG",,,0.0436,99.07,135366099868,0.0395,,,,0.037,5.78,8.06,0.0003,,"BlackRock"
"2026-04-30","AGG",,,0.0435,98.85,134963859882,0.0395,,,,0.037,5.78,8.06,0.0003,,"BlackRock"
"2026-05-01","AGG",,,0.0437,98.54,134976832629,0.0429,,,,0.037,5.78,8.08,0.0003,,"BlackRock"
"2026-05-04","AGG",,,0.0438,98.72,135232668204,0.0398,,,,0.037,5.78,8.08,0.0003,,"BlackRock"
"2026-05-05","AGG",,,0.0438,99.14,135855578642,0.0397,,,,0.037,5.77,8.03,0.0003,,"BlackRock"
"2026-05-06","AGG",,,0.0436,98.91,135560509437,0.0395,,,,0.037,5.77,8.04,0.0003,,"BlackRock"
"2026-05-07","AGG",,,0.0437,99.11,135876500379,0.0396,,,,0.037,5.77,8.04,0.0003,,"BlackRock"
"2026-05-08","AGG",,,0.0436,98.9,135645437141,0.0396,,,,0.037,5.75,8.02,0.0003,,"BlackRock"
"2026-05-11","AGG",,,0.0438,98.61,135245875203,0.0396,,,,0.037,5.76,8.04,0.0003,,"BlackRock"
"2026-05-12","AGG",,,0.044,98.63,135270090592,0.0398,,,,0.037,5.75,8.03,0.0003,,"BlackRock"
"2026-05-13","AGG",,,0.044,98.6,135266004557,0.0397,,,,0.037,5.75,8.04,0.0003,,"BlackRock"
"2026-05-14","AGG",,,0.044,97.98,134416678199,0.0398,,,,0.037,5.75,8.04,0.0003,,"BlackRock"
"2026-05-29","AGG",,,"0.04454",98.65,,,0.0466,,,,5.81,8.08,,,"BlackRock"
"2026-06-01","AGG",,,"0.04454",98.65,,,0.0469,,,,5.82,8.11,,,"BlackRock"
"2026-06-02","AGG",,,"0.04477",98.69,,,0.0469,,,,5.82,8.12,,,"BlackRock"
"2026-06-03","AGG",,,"0.04477",98.49,,,0.0473,,,,5.82,8.12,,,"BlackRock"
"2026-06-04","AGG",,,"0.04488",98.61,,,0.0471,,,,5.81,8.1,,,"BlackRock"
"2026-06-05","AGG",,,"0.04484",98.19,,,0.0479,,,,5.8,8.11,,,"BlackRock"
"2026-06-08","AGG",,,"0.04508",98.12,,,0.048,,,,5.79,8.1,,,"BlackRock"
"2026-06-09","AGG",,,"0.04523",98.34,,,0.0477,,,,5.79,8.1,,,"BlackRock"
"2026-06-10","AGG",,,"0.04523",98.28,,,0.0478,,,,5.78,8.09,,,"BlackRock"
