asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2020-01-01","VUSXX",,0.0155,,"moneymarket.fun"
"2020-01-02","VUSXX",,0.0155,,"moneymarket.fun"
"2020-01-03","VUSXX",,0.0155,,"gapFiller"
"2020-01-04","VUSXX",,0.0155,,"gapFiller"
"2020-01-05","VUSXX",,0.0155,,"moneymarket.fun"
"2020-01-06","VUSXX",,0.0154,,"moneymarket.fun"
"2020-01-07","VUSXX",,0.0154,,"moneymarket.fun"
"2020-01-08","VUSXX",,0.0154,,"moneymarket.fun"
"2020-01-09","VUSXX",,0.0154,,"moneymarket.fun"
"2020-01-10","VUSXX",,0.0154,,"gapFiller"
"2020-01-11","VUSXX",,0.0154,,"gapFiller"
"2020-01-12","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-13","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-14","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-15","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-16","VUSXX",,0.0153,,"gapFiller"
"2020-01-17","VUSXX",,0.0153,,"gapFiller"
"2020-01-18","VUSXX",,0.0153,,"gapFiller"
"2020-01-19","VUSXX",,0.0153,,"gapFiller"
"2020-01-20","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-21","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-22","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-23","VUSXX",,0.0153,,"moneymarket.fun"
"2020-01-24","VUSXX",,0.0153,,"gapFiller"
"2020-01-25","VUSXX",,0.0153,,"gapFiller"
"2020-01-26","VUSXX",,0.0152,,"moneymarket.fun"
"2020-01-27","VUSXX",,0.0152,,"moneymarket.fun"
"2020-01-28","VUSXX",,0.0152,,"moneymarket.fun"
"2020-01-29","VUSXX",,0.0152,,"moneymarket.fun"
"2020-01-30","VUSXX",,0.0152,,"moneymarket.fun"
"2020-01-31","VUSXX",,0.0152,,"gapFiller"
"2020-02-01","VUSXX",,0.0152,,"gapFiller"
"2020-02-02","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-03","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-04","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-05","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-06","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-07","VUSXX",,0.0152,,"gapFiller"
"2020-02-08","VUSXX",,0.0152,,"gapFiller"
"2020-02-09","VUSXX",,0.0151,,"moneymarket.fun"
"2020-02-10","VUSXX",,0.0151,,"moneymarket.fun"
"2020-02-11","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-12","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-13","VUSXX",,0.0151,,"gapFiller"
"2020-02-14","VUSXX",,0.0152,,"gapFiller"
"2020-02-15","VUSXX",,0.0152,,"gapFiller"
"2020-02-16","VUSXX",,0.0152,,"gapFiller"
"2020-02-17","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-18","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-19","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-20","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-21","VUSXX",,0.0152,,"gapFiller"
"2020-02-22","VUSXX",,0.0152,,"gapFiller"
"2020-02-23","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-24","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-25","VUSXX",,0.0152,,"moneymarket.fun"
"2020-02-26","VUSXX",,0.0151,,"moneymarket.fun"
"2020-02-27","VUSXX",,0.0151,,"moneymarket.fun"
"2020-02-28","VUSXX",,0.0151,,"gapFiller"
"2020-02-29","VUSXX",,0.0151,,"gapFiller"
"2020-03-01","VUSXX",,0.0151,,"moneymarket.fun"
"2020-03-02","VUSXX",,0.015,,"moneymarket.fun"
"2020-03-03","VUSXX",,0.015,,"moneymarket.fun"
"2020-03-04","VUSXX",,0.0149,,"moneymarket.fun"
"2020-03-05","VUSXX",,0.0148,,"moneymarket.fun"
"2020-03-06","VUSXX",,0.0148,,"gapFiller"
"2020-03-07","VUSXX",,0.0148,,"gapFiller"
"2020-03-08","VUSXX",,0.0146,,"moneymarket.fun"
"2020-03-09","VUSXX",,0.0146,,"moneymarket.fun"
"2020-03-10","VUSXX",,0.0144,,"moneymarket.fun"
"2020-03-11","VUSXX",,0.0142,,"moneymarket.fun"
"2020-03-12","VUSXX",,0.0139,,"moneymarket.fun"
"2020-03-13","VUSXX",,0.0139,,"gapFiller"
"2020-03-14","VUSXX",,0.0139,,"gapFiller"
"2020-03-15","VUSXX",,0.0131,,"moneymarket.fun"
"2020-03-16","VUSXX",,0.0128,,"moneymarket.fun"
"2020-03-17","VUSXX",,0.0126,,"moneymarket.fun"
"2020-03-18","VUSXX",,0.0123,,"moneymarket.fun"
"2020-03-19","VUSXX",,0.0119,,"moneymarket.fun"
