asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-24","STIP",,,-0.0021,,14115445838,0.0405,,,,0.0103,2.5,2.6,0.0003,,"BlackRock"
"2026-02-25","STIP",,,-0.0007,,14116634092,0.0405,,,,,,,0.0003,,"BlackRock"
"2026-02-26","STIP",,,0.0006,,14128295704,0.0405,,,,,,,0.0003,,"BlackRock"
"2026-02-27","STIP",,,0.0019,103.22,14120779324,0.0404,0.0343,,,0.0103,2.46,2.55,0.0003,,"BlackRock"
"2026-03-02","STIP",,,0.0091,103.2,14102592568,0.0405,0.0343,,,0.0103,2.46,2.55,0.0003,,"BlackRock"
"2026-03-03","STIP",,,0.0105,103.11,14104792460,0.0405,0.0347,,,0.0103,2.45,2.54,0.0003,,"BlackRock"
"2026-03-04","STIP",,,0.0119,103.2,14117349010,0.0394,0.0347,,,0.0103,2.45,2.54,0.0003,,"BlackRock"
"2026-03-05","STIP",,,0.0135,103.42,14215049008,0.0394,0.0344,,,0.0103,2.45,2.54,0.0003,,"BlackRock"
"2026-03-12","STIP",,,0.0238,103.26,14378483970,0.0394,0.0357,,,0.0103,2.42,2.51,0.0003,,"BlackRock"
"2026-03-13","STIP",,,0.0253,103.41,14445910614,0.0394,0.035,,,0.0103,2.42,2.51,0.0003,,"BlackRock"
"2026-03-19","STIP",,,0.0342,103.25,14609736946,0.0393,0.0362,,,0.0103,2.4,2.49,0.0003,,"BlackRock"
"2026-03-20","STIP",,,0.0358,103.09,14509374139,0.0394,0.036,,,0.0103,2.39,2.48,0.0003,,"BlackRock"
"2026-03-23","STIP",,,0.0404,102.98,14520685218,0.0394,0.0365,,,0.0103,2.39,2.48,0.0003,,"BlackRock"
"2026-03-24","STIP",,,0.042,102.99,14465411375,0.0395,0.0363,,,0.0103,2.39,2.48,0.0003,,"BlackRock"
"2026-03-25","STIP",,,0.0436,102.91,14531464767,0.0395,0.0371,,,0.0103,2.38,2.47,0.0003,,"BlackRock"
"2026-03-26","STIP",,,0.0452,103.05,14519247046,0.0395,0.0363,,,0.0103,2.38,2.47,0.0003,,"BlackRock"
