recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2026-02-02","2026-02-02","2026-02-04",0.2972,0.2972,,,
"2025-12-18","2025-12-18","2025-12-22",0.3005,0.3005,,,
"2025-12-01","2025-12-01","2025-12-03",0.2911,0.2911,,,
"2025-11-03","2025-11-03","2025-11-05",0.2974,0.2974,,,
"2025-10-01","2025-10-01","2025-10-03",0.2904,0.2904,,,
"2025-09-02","2025-09-02","2025-09-04",0.2901,0.2901,,,
"2025-08-01","2025-08-01","2025-08-05",0.2972,0.2972,,,
"2025-07-01","2025-07-01","2025-07-03",0.2903,0.2903,,,
"2025-06-02","2025-06-02","2025-06-04",0.297,0.297,,,
"2025-05-01","2025-05-01","2025-05-05",0.2824,0.2824,,,
"2025-04-01","2025-04-01","2025-04-03",0.289,0.289,,,
"2025-03-03","2025-03-03","2025-03-05",0.2588,0.2588,,,
"2025-02-03","2025-02-03","2025-02-05",0.2813,0.2813,,,
"2024-12-24","2024-12-24","2024-12-27",0.2798,0.2798,,,
"2024-12-02","2024-12-02","2024-12-04",0.2729,0.2729,,,
"2024-11-01","2024-11-01","2024-11-05",0.2741,0.2741,,,
"2024-10-01","2024-10-01","2024-10-03",0.2605,0.2605,,,
"2024-09-03","2024-09-03","2024-09-05",0.2627,0.2627,,,
"2024-08-01","2024-08-01","2024-08-05",0.2669,0.2669,,,
"2024-07-01","2024-07-01","2024-07-03",0.2559,0.2559,,,
"2024-06-03","2024-06-03","2024-06-05",0.258,0.258,,,
"2024-05-02","2024-05-01","2024-05-06",0.2492,0.2492,,,
"2024-04-02","2024-04-01","2024-04-04",0.2479,0.2479,,,
"2024-03-04","2024-03-01","2024-03-06",0.229,0.229,,,
"2024-02-02","2024-02-01","2024-02-06",0.234,0.234,,,
"2023-12-26","2023-12-22","2023-12-28",0.2312,0.2312,,,
"2023-12-04","2023-12-01","2023-12-06",0.2164,0.2164,,,
"2023-11-02","2023-11-01","2023-11-06",0.2267,0.2267,,,
"2023-10-03","2023-10-02","2023-10-05",0.2147,0.2147,,,
"2023-09-05","2023-09-01","2023-09-07",0.2095,0.2095,,,
"2023-08-02","2023-08-01","2023-08-04",0.1983,0.1983,,,
"2023-07-05","2023-07-03","2023-07-07",0.1923,0.1923,,,
"2023-06-02","2023-06-01","2023-06-06",0.1952,0.1952,,,
"2023-05-02","2023-05-01","2023-05-04",0.1826,0.1826,,,
"2023-04-04","2023-04-03","2023-04-06",0.1908,0.1908,,,
"2023-03-02","2023-03-01","2023-03-06",0.1639,0.1639,,,
"2023-02-02","2023-02-01","2023-02-06",0.1723,0.1723,,,
"2022-12-27","2022-12-23","2022-12-29",0.1693,0.1693,,,
"2022-12-02","2022-12-01","2022-12-06",0.1496,0.1496,,,
"2022-11-02","2022-11-01","2022-11-04",0.1481,0.1481,,,
"2022-10-04","2022-10-03","2022-10-06",0.1443,0.1443,,,
"2022-09-02","2022-09-01","2022-09-07",0.1362,0.1362,,,
"2022-08-02","2022-08-01","2022-08-04",0.1272,0.1272,,,
"2022-07-05","2022-07-01","2022-07-07",0.1179,0.1179,,,
"2022-06-02","2022-06-01","2022-06-06",0.1159,0.1159,,,
"2022-05-03","2022-05-02","2022-05-05",0.1078,0.1078,,,
"2022-04-04","2022-04-01","2022-04-06",0.1064,0.1064,,,
"2022-03-02","2022-03-01","2022-03-04",0.0923,0.0923,,,
"2022-02-02","2022-02-01","2022-02-04",0.099,0.099,,,
"2021-12-27","2021-12-23","2021-12-29",0.2816,0.0995,,0.1821,
"2021-12-02","2021-12-01","2021-12-06",0.0988,0.0988,,,
"2021-11-02","2021-11-01","2021-11-04",0.1009,0.1009,,,
"2021-10-04","2021-10-01","2021-10-06",0.1078,0.1078,,,
"2021-09-02","2021-09-01","2021-09-07",0.1058,0.1058,,,
"2021-08-03","2021-08-02","2021-08-05",0.1082,0.1082,,,
"2021-07-02","2021-07-01","2021-07-07",0.1031,0.1031,,,
"2021-06-02","2021-06-01","2021-06-04",0.1098,0.1098,,,
"2021-05-04","2021-05-03","2021-05-06",0.1073,0.1073,,,
"2021-04-05","2021-04-01","2021-04-07",0.1162,0.1162,,,
