ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",37165055249.32,"Retail",10000000,30,65,"2025-03-31",0.0438,"2025-03-31",0,0,0,0,0,0.20705,0.02942,0.07404,0.00753,0.40133,0,0,0.2109,0,0,0.02608,0.00419,0.03879,0.00066,0,0.12036
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",36466400407.72,"Retail",10000000,36,67,"2025-02-28",0.044,"2025-02-28",0,0,0,0,0,0.20871,0.03046,0.07169,0.00635,0.39806,0,0,0.20874,0,0,0.02532,0.01104,0.03965,0,0,0.11768
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",35871692728.73,"Retail",10000000,35,63,"2025-01-31",0.0444,"2025-01-31",0,0,0,0,0,0.19741,0.02991,0.07073,0.00353,0.44183,0,0,0.17738,0.00273,0,0.03293,0.00471,0.03885,0,0,0.1131
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",35331672359.54,"Retail",10000000,33,56,"2024-12-31",0.0451,"2024-12-31",0,0,0,0,0.00347,0.19124,0.01108,0.07388,0.00312,0.34836,0,0.03828,0.24011,0,0,0.03318,0.011,0.04631,0,0,0.1233
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",35049568949.55,"Retail",10000000,38,64,"2024-11-30",0.0466,"2024-11-29",0,0,0,0,0.00348,0.21011,0.02572,0.07406,0.00444,0.39688,0,0.02019,0.17965,0,0,0.03336,0.00756,0.04454,0,0,0.12303
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34725951503.05,"Retail",10000000,36,62,"2024-10-31",0.0489,"2024-10-31",0,0,0,0,0.00787,0.22319,0.01772,0.07441,0.00447,0.37941,0,0,0.20928,0.00848,0,0.02947,0.00771,0.03796,0,0,0.11685
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34474913506.35,"Retail",10000000,33,59,"2024-09-30",0.0495,"2024-09-30",0,0,0,0,0.00349,0.23077,0.01774,0.06509,0.00517,0.35281,0,0,0.19183,0.04541,0,0.02674,0.01054,0.04075,0.00965,0,0.11101
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34499790660.15,"Retail",10000000,36,60,"2024-08-31",0.0532,"2024-08-30",0,0,0,0,0.00141,0.23271,0.03839,0.06267,0.00589,0.3253,0,0.01133,0.18407,0.04814,0,0.02382,0.01048,0.04614,0.00963,0,0.11471
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34606333069.74,"Retail",10000000,39,60,"2024-07-31",0.0534,"2024-07-31",0,0,0,0,0.00492,0.24144,0.03676,0.05644,0.00699,0.32868,0,0.00928,0.15981,0.08561,0,0.0095,0.01032,0.04324,0.00701,0,0.10667
"WMPXX","parse-MFP-files.sh","Allspring Funds Trust","Allspring Money Market Fund","Premier Class",0,,"Prime",34352739825.37,"Retail",10000000,32,57,"2024-06-30",0.0535,"2024-06-28",0,0,0,0,0.00328,0.23795,0.02005,0.05569,0.00577,0.30936,0,0.0086,0.25569,0.04157,0,0.00475,0.0094,0.04418,0.00374,0,0.10563
