asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-19","VMBS",,,0.0419,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-20","VMBS",,,0.042,,,,,,,,,,0.0003,,"advisors.vanguard.com"
"2026-02-23","VMBS",,,0.0424,,,,0.0449,0.0449,0.0277,0.0397,4.7,5.7,0.0003,,"advisors.vanguard.com"
"2026-02-24","VMBS",,,0.0424,,14800000000,,0.0451,0.0451,0.0277,0.0397,4.7,5.7,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-02-25","VMBS",,,0.0426,,14800000000,,0.0452,0.0452,0.0277,0.0397,4.7,5.8,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-02-26","VMBS",,,0.0427,,14800000000,,0.0449,0.0449,0.0277,0.0397,4.7,5.7,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-02-27","VMBS",,,0.0428,47.43,14800000000,,0.0447,0.0447,0.0277,0.0399,4.7,5.7,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-02","VMBS",,,0.043,47.34,15200000000,,0.0457,0.0457,0.0277,0.0399,4.8,5.9,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-03","VMBS",,,0.0433,47.23,15200000000,,0.0462,0.0462,0.0277,0.0399,4.9,6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-04","VMBS",,,0.0432,47.23,15200000000,,0.0462,0.0462,0.0277,0.0399,4.9,6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-05","VMBS",,,0.0431,47.21,15200000000,,0.0468,0.0468,0.0442,0.0398,4.9,6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-11","VMBS",,,0.0419,46.89,15200000000,,0.0484,0.0484,0.0442,0.0398,5,6.3,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-12","VMBS",,,0.0421,47.09,15200000000,,0.0486,0.0486,0.0442,0.0398,5,6.4,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-13","VMBS",,,0.0422,47.09,15200000000,,0.0486,0.0486,0.0442,0.0398,5,6.4,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-19","VMBS",,,0.0413,46.6,15200000000,,0.0484,0.0484,0.0442,0.0398,5,6.3,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-20","VMBS",,,0.0412,46.62,15200000000,,0.0501,0.0501,0.0442,0.0399,5.1,6.6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-23","VMBS",,,0.0411,46.83,15200000000,,0.0502,0.0502,0.0442,0.0399,5.1,6.6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-24","VMBS",,,0.0408,46.52,15200000000,,0.0502,0.0502,0.0442,0.0399,5.1,6.6,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-25","VMBS",,,0.0408,46.55,15200000000,,0.0493,0.0493,0.0442,0.0398,5,6.5,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-26","VMBS",,,0.0405,46.79,15200000000,,0.0506,0.0506,0.0442,0.0399,5.1,6.7,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
"2026-03-27","VMBS",,,0.0406,46.89,15200000000,,0.0495,0.0495,0.0442,0.0398,5,6.5,0.0003,"Mortgage-Backed Securities ETF","advisors.vanguard.com"
