recordDate,exDividendDate,payableDate,totalDistribution,ordinaryIncome,stcg,ltcg,returnOfCapital
"2026-03-02","2026-03-02","2026-03-04",0.0998,0.0998,,,
"2026-02-02","2026-02-02","2026-02-04",0.1124,0.1124,,,
"2025-12-18","2025-12-18","2025-12-22",0.9686,0.9686,,,
"2025-12-01","2025-12-01","2025-12-03",0.1044,0.1044,,,
"2025-11-03","2025-11-03","2025-11-05",0.1087,0.1087,,,
"2025-10-01","2025-10-01","2025-10-03",0.1048,0.1048,,,
"2025-09-02","2025-09-02","2025-09-04",0.1092,0.1092,,,
"2025-08-01","2025-08-01","2025-08-05",0.1072,0.1072,,,
"2025-07-01","2025-07-01","2025-07-03",0.1041,0.1041,,,
"2025-06-02","2025-06-02","2025-06-04",0.1067,0.1067,,,
"2025-05-01","2025-05-01","2025-05-05",0.1044,0.1044,,,
"2025-04-01","2025-04-01","2025-04-03",0.1076,0.1076,,,
"2025-03-03","2025-03-03","2025-03-05",0.095,0.095,,,
"2025-02-03","2025-02-03","2025-02-05",0.1029,0.1029,,,
"2024-12-24","2024-12-24","2024-12-27",1.0139,1.0139,,,
"2024-12-02","2024-12-02","2024-12-04",0.0982,0.0982,,,
"2024-11-01","2024-11-01","2024-11-05",0.098,0.098,,,
"2024-10-01","2024-10-01","2024-10-03",0.0965,0.0965,,,
"2024-09-03","2024-09-03","2024-09-05",0.1011,0.1011,,,
"2024-08-01","2024-08-01","2024-08-05",0.1005,0.1005,,,
"2024-07-01","2024-07-01","2024-07-03",0.0931,0.0931,,,
"2024-06-03","2024-06-03","2024-06-05",0.0959,0.0959,,,
"2024-05-02","2024-05-01","2024-05-06",0.0892,0.0892,,,
"2024-04-02","2024-04-01","2024-04-04",0.0913,0.0913,,,
"2024-03-04","2024-03-01","2024-03-06",0.0851,0.0851,,,
"2024-02-02","2024-02-01","2024-02-06",0.0859,0.0859,,,
"2023-12-26","2023-12-22","2023-12-28",1.3568,1.3568,,,
"2023-12-04","2023-12-01","2023-12-06",0.0873,0.0873,,,
"2023-11-02","2023-11-01","2023-11-06",0.0844,0.0844,,,
"2023-10-03","2023-10-02","2023-10-05",0.0793,0.0793,,,
"2023-09-05","2023-09-01","2023-09-07",0.0793,0.0793,,,
"2023-08-02","2023-08-01","2023-08-04",0.0816,0.0816,,,
"2023-07-05","2023-07-03","2023-07-07",0.078,0.078,,,
"2023-06-02","2023-06-01","2023-06-06",0.0726,0.0726,,,
"2023-05-02","2023-05-01","2023-05-04",0.0698,0.0698,,,
"2023-04-04","2023-04-03","2023-04-06",0.0716,0.0716,,,
"2023-03-02","2023-03-01","2023-03-06",0.0588,0.0588,,,
"2023-02-02","2023-02-01","2023-02-06",0.0627,0.0627,,,
"2022-12-27","2022-12-23","2022-12-29",0.2153,0.2153,,,
"2022-12-02","2022-12-01","2022-12-06",0.0598,0.0598,,,
"2022-11-02","2022-11-01","2022-11-04",0.0541,0.0541,,,
"2022-10-04","2022-10-03","2022-10-06",0.0495,0.0495,,,
"2022-09-02","2022-09-01","2022-09-07",0.0484,0.0484,,,
"2022-08-02","2022-08-01","2022-08-04",0.0488,0.0488,,,
"2022-07-05","2022-07-01","2022-07-07",0.0431,0.0431,,,
"2022-06-02","2022-06-01","2022-06-06",0.0419,0.0419,,,
"2022-05-03","2022-05-02","2022-05-05",0.0375,0.0375,,,
"2022-04-04","2022-04-01","2022-04-06",0.0379,0.0379,,,
"2022-03-02","2022-03-01","2022-03-04",0.0345,0.0345,,,
"2022-02-02","2022-02-01","2022-02-04",0.0469,0.0469,,,
"2021-12-27","2021-12-23","2021-12-29",1.6181,1.2516,0.0059,0.3606,
"2021-12-02","2021-12-01","2021-12-06",0.0339,0.0339,,,
"2021-11-02","2021-11-01","2021-11-04",0.039,0.039,,,
"2021-10-04","2021-10-01","2021-10-06",0.0382,0.0382,,,
"2021-09-02","2021-09-01","2021-09-07",0.0401,0.0401,,,
