asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-19","VTEC",,,0.0285,,,,,,,,,,0.0006,,"advisors.vanguard.com"
"2026-02-20","VTEC",,,0.0284,,,,,,,,,,0.0006,,"advisors.vanguard.com"
"2026-02-23","VTEC",,,0.0284,,1900000000,,0.0293,,0.0228,0.044000000000000004,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-24","VTEC",,,0.0282,,1900000000,,0.0293,,0.0228,0.044000000000000004,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-25","VTEC",,,0.0282,,1900000000,,0.029,,0.0228,0.0436,6.6,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-26","VTEC",,,0.0281,,1900000000,,0.0293,,0.0228,0.0442,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-02-27","VTEC",,,0.028,100.66,2200000000,,0.0293,,0.0228,0.0442,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-02","VTEC",,,0.028,100.68,2200000000,,0.0294,,0.0228,0.0439,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-03","VTEC",,,0.0281,100.68,2200000000,,0.0294,,0.0228,0.0439,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-04","VTEC",,,0.0283,100.63,2200000000,,0.0305,,0.0228,0.0441,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-05","VTEC",,,0.0283,100.53,2200000000,,0.0306,,0.0331,0.0441,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
