asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-04-17","STIP",,,0.0594,103.65,14857725642,0.0341,0.0364,,,0.0106,2.34,2.42,0.0003,,"BlackRock"
"2026-04-17","TLT",,,0.0484,87,42030902252,0.0449,,,,0.0318,15.35,25.89,0.0015,,"BlackRock"
"2026-04-17","IEF",,,0.0411,95.84,48704317453,0.0382,,,,0.0414,6.97,8.46,0.0015,,"BlackRock"
"2026-04-17","AGG",,,0.0434,99.8,136324579836,0.0392,,,,0.0369,5.75,7.94,0.0003,,"BlackRock"
"2026-04-17","MBB",,,0.0409,95.53,38956624315,0.0419,,,,0.0354,5.24,6.3,0.0004,,"BlackRock"
"2026-04-17","TIP",,,0.0669,111.33,14583598454,0.0278,0.0403,,,0.0122,6.39,7.18,0.0018,,"BlackRock"
"2026-04-17","GOVT",,,0.0411,22.97,41078569270,0.035,,,,0.0311,5.66,7.57,0.0005,,"BlackRock"
"2026-04-17","MUB",,,0.034,107.16,43743825977,0.0316,,,,0.0471,6.31,7.12,0.0005,,"BlackRock"
"2026-04-17","IUSB",,,0.0452,46.49,36632972807,0.0421,,,,0.0396,5.55,7.73,0.0006,,"BlackRock"
"2026-04-17","SGOV",,,0.0355,100.57,84159674991,0.0395,,,,,0.09,0.09,0.0009,,"BlackRock"
