ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",0.0027,"1031","Government",20490399.41,"Institutional",5000,48,98,"2025-05-31",0.0407,"2025-05-30",0.66527,0,0.21711,0.11762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",0.0027,"1031","Government",19304480.56,"Institutional",5000,46,105,"2025-04-30",0.0408,"2025-04-30",0.67965,0,0.18727,0.13308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",0.0027,"1031","Government",39277250.38,"Institutional",5000,30,95,"2025-03-31",0.0409,"2025-03-31",0.77046,0,0.17765,0.0519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",0.0027,"1031","Government",20615697.29,"Institutional",5000,33,93,"2025-02-28",0.041,"2025-02-28",0.7595,0,0.18049,0.06001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",0.0027,"1031","Government",18524890.06,"Institutional",5000,40,98,"2025-01-31",0.0412,"2025-01-31",0.80995,0,0.13583,0.05423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",40161628.19,"Institutional",5000,50,98,"2024-12-31",0.0421,"2024-12-31",0.84721,0,0.08325,0.06954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",26484422.8,"Institutional",5000,41,82,"2024-11-30",0.0439,"2024-11-29",0.84765,0,0.08502,0.06734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",49388572.72,"Institutional",5000,46,104,"2024-10-31",0.0458,"2024-10-31",0.7467,0,0.13625,0.11704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",37204952.89,"Institutional",5000,39,81,"2024-09-30",0.0475,"2024-09-30",0.74581,0,0.15377,0.10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",28502027.27,"Institutional",5000,35,77,"2024-08-31",0.0505,"2024-08-30",0.67633,0,0.17188,0.15179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",17847890.43,"Institutional",5000,39,86,"2024-07-31",0.0509,"2024-07-31",0.71559,0,0.17448,0.10993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",36423098.08,"Institutional",5000,43,93,"2024-06-30",0.0508,"2024-06-28",0.73359,0,0.1673,0.0991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",77815764.71,"Institutional",5000,40,109,"2021-01-31",0.0001,"2021-01-31",0.61997,0.38003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Blackrock Liquid Federal Trust Fund","Administration",,"1031","Government",80071898.89,"Institutional",5000,46,100,"2020-12-31",0,"2020-12-31",0.69771,0.30229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",83015327.08,"Institutional",5000,43,91,"2020-11-30",0,"2020-11-30",0.69367,0.30633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",78215677.57,"Institutional",5000,50,110,"2020-10-31",0,"2020-10-31",0.64913,0.35087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",81837279.64,"Institutional",5000,53,112,"2020-09-30",0,"2020-09-30",0.68932,0.31068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",97046571.9,"Institutional",5000,52,110,"2020-08-31",0,"2020-08-31",0.72768,0.27232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",97298495.31,"Institutional",5000,50,109,"2020-07-31",0.0001,"2020-07-31",0.69719,0.30281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",93134689.37,"Institutional",5000,49,102,"2020-06-30",0.0001,"2020-06-30",0.6548,0.3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",97877408.19,"Institutional",5000,52,109,"2020-05-31",0.0003,"2020-05-31",0.63824,0.36176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BFTXX","parse-MFP-files.sh","Blackrock Liquidity Funds","T-fund","Cash Reserve",,"1031","Government",107494756.65,"Institutional",5000,52,104,"2020-04-30",0.0012,"2020-04-30",0.62291,0.37709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
