asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2024-12-29","FYHXX",,0.041,,"moneymarket.fun"
"2024-12-30","FYHXX",,0.0411,,"moneymarket.fun"
"2024-12-31","FYHXX",,0.0411,,"gapFiller"
"2025-01-01","FYHXX",,0.0413,,"moneymarket.fun"
"2025-01-02","FYHXX",,0.0411,,"gapFiller"
"2025-01-03","FYHXX",,0.0413,,"gapFiller"
"2025-01-04","FYHXX",,0.0413,,"gapFiller"
"2025-01-05","FYHXX",,0.0413,,"moneymarket.fun"
"2025-01-06","FYHXX",,0.0413,,"moneymarket.fun"
"2025-01-07","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-08","FYHXX",,0.0412,,"gapFiller"
"2025-01-09","FYHXX",,0.0413,,"gapFiller"
"2025-01-10","FYHXX",,0.0412,,"gapFiller"
"2025-01-11","FYHXX",,0.0412,,"gapFiller"
"2025-01-12","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-13","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-14","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-15","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-16","FYHXX",,0.0412,,"gapFiller"
"2025-01-17","FYHXX",,0.0412,,"gapFiller"
"2025-01-18","FYHXX",,0.0412,,"gapFiller"
"2025-01-19","FYHXX",,0.0412,,"gapFiller"
"2025-01-20","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-21","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-22","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-23","FYHXX",,0.0412,,"gapFiller"
"2025-01-24","FYHXX",,0.0412,,"gapFiller"
"2025-01-25","FYHXX",,0.0412,,"gapFiller"
"2025-01-26","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-27","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-28","FYHXX",,0.0412,,"moneymarket.fun"
"2025-01-29","FYHXX",,0.0413,,"moneymarket.fun"
"2025-01-30","FYHXX",,0.0412,,"gapFiller"
"2025-01-31","FYHXX",,0.0413,,"gapFiller"
"2025-02-01","FYHXX",,0.0413,,"gapFiller"
"2025-02-02","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-03","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-04","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-05","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-06","FYHXX",,0.0415,,"gapFiller"
"2025-02-07","FYHXX",,0.0415,,"gapFiller"
"2025-02-08","FYHXX",,0.0415,,"gapFiller"
"2025-02-09","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-10","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-11","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-12","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-13","FYHXX",,0.0414,,"gapFiller"
"2025-02-14","FYHXX",,0.0414,,"gapFiller"
"2025-02-15","FYHXX",,0.0414,,"gapFiller"
"2025-02-16","FYHXX",,0.0414,,"gapFiller"
"2025-02-17","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-18","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-19","FYHXX",,0.0414,,"moneymarket.fun"
"2025-02-20","FYHXX",,0.0414,,"gapFiller"
"2025-02-21","FYHXX",,0.0415,,"gapFiller"
"2025-02-22","FYHXX",,0.0415,,"gapFiller"
"2025-02-23","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-24","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-25","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-26","FYHXX",,0.0415,,"moneymarket.fun"
"2025-02-27","FYHXX",0.0415,0.0415,0.0415,"Fidelity.com"
"2025-02-28","FYHXX",0.0415,0.0415,0.0415,"Fidelity.com"
"2025-03-01","FYHXX",0.0415,0.0415,0.0415,"Fidelity.com"
"2025-03-02","FYHXX",0.0415,0.0415,0.0415,"Fidelity.com"
"2025-03-03","FYHXX",0.0414,0.0415,0.0415,"Fidelity.com"
"2025-03-04","FYHXX",0.0414,0.0415,0.0415,"Fidelity.com"
"2025-03-05","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-06","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-07","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-08","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-09","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-10","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-11","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-12","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-13","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-14","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-15","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-16","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-17","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-18","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
"2025-03-19","FYHXX",0.0414,0.0414,0.0415,"Fidelity.com"
