ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",3278556211.35,"Retail",10000000,29,29,"2025-10-31",0.0279,"2025-10-31",0.01729,0,0,0,0,0,0,0.55024,0.10791,0,0,0,0,0,0,0,0.22875,0.09582,0,0.01729,0.98271
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",3098408170.2,"Retail",10000000,31,31,"2025-09-30",0.0279,"2025-09-30",0,0,0,0,0,0,0,0.55012,0.10627,0,0,0,0,0,0,0,0.24271,0.10091,0,0,1
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2983320225.28,"Retail",10000000,33,33,"2025-08-29",0.0271,"2025-08-29",0,0,0,0,0,0,0,0.54067,0.09804,0,0,0,0,0,0,0,0.25387,0.10742,0,0,1
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2866701626.06,"Retail",10000000,35,35,"2025-07-31",0.0263,"2025-07-31",0.00562,0,0,0,0,0,0,0.48653,0.11007,0,0,0,0,0,0,0,0.28621,0.11158,0,0.00562,0.99438
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2764626330.24,"Retail",10000000,41,41,"2025-06-30",0.026,"2025-06-30",0.00324,0,0,0,0,0,0,0.48364,0.11939,0,0,0,0,0,0,0,0.29414,0.09959,0,0.00324,0.99676
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2648968288.34,"Retail",10000000,36,36,"2025-05-30",0.0257,"2025-05-30",0.11212,0,0,0,0,0,0,0.34738,0.15262,0,0,0,0,0,0,0,0.29412,0.09376,0,0.11212,0.88788
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2588404269.63,"Retail",10000000,28,28,"2025-04-30",0.0308,"2025-04-30",0,0,0,0,0,0,0,0.50834,0.11974,0,0,0,0,0,0,0,0.27653,0.09539,0,0,1
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2630268364.87,"Retail",10000000,33,33,"2025-03-31",0.0283,"2025-03-31",0,0,0,0,0,0,0,0.56209,0.10415,0,0,0,0,0,0,0,0.24195,0.09182,0,0,1
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2582790673.49,"Retail",10000000,37,37,"2025-02-28",0.0276,"2025-02-28",0.1816,0,0,0,0,0,0,0.41167,0.10722,0,0,0,0,0,0,0,0.23485,0.06467,0,0.1816,0.8184
"FTXXX","Goldman Sachs Investor Tax-exempt MM Institutional Shares","Goldman Sachs Trust","Goldman Sachs Investor Fund - Tax-exempt Money Market","Class I",0.0018,"1031","Muni",2477936309.72,"Retail",10000000,33,33,"2025-01-31",0.0274,"2025-01-31",0.1155,0,0,0,0,0,0,0.46279,0.09783,0,0,0,0,0,0,0,0.25003,0.07385,0,0.1155,0.8845
