ticker,friendlyName,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1220494204.73,"Retail",1,39,39,"2025-12-31",0.0273,"2025-12-31",0,0,0,0,0,0,0,0.35074,0.23278,0,0,0,0,0,0,0.0797,0,0.33678,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1179293281.32,"Retail",1,38,38,"2025-11-30",0.0245,"2025-11-28",0,0,0,0,0,0,0,0.33212,0.21793,0,0,0,0,0,0,0.12388,0,0.32607,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1146491384.39,"Retail",1,38,38,"2025-10-31",0.0255,"2025-10-31",0,0,0,0,0,0,0,0.33304,0.20997,0,0,0,0,0,0,0.11893,0,0.33806,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1145603517.87,"Retail",1,32,33,"2025-09-30",0.0257,"2025-09-30",0,0,0,0,0,0,0,0.36684,0.19172,0,0,0,0,0,0,0.08789,0,0.35355,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1174598933.65,"Retail",1,34,34,"2025-08-31",0.0247,"2025-08-29",0,0,0,0,0,0,0,0.40046,0.18301,0,0,0,0,0,0,0.08122,0,0.33532,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1161850978.3,"Retail",1,34,34,"2025-07-31",0.0238,"2025-07-31",0,0,0,0,0,0,0,0.41349,0.19601,0,0,0,0,0,0,0.08189,0,0.30862,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1190737258.2,"Retail",1,39,39,"2025-06-30",0.02,"2025-06-30",0,0,0,0,0,0,0,0.41179,0.21438,0,0,0,0,0,0,0.07878,0,0.29504,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1222762278.15,"Retail",1,32,32,"2025-05-31",0.0211,"2025-05-30",0,0,0,0,0,0,0,0.39945,0.21103,0,0,0,0,0,0,0.1158,0,0.27372,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1233164384.41,"Retail",1,30,30,"2025-04-30",0.0304,"2025-04-30",0,0,0,0,0,0,0,0.40487,0.20342,0,0,0,0,0,0,0.11684,0,0.27487,0,0,1
"FMOXX","Fidelity Tax-exempt MM","Fidelity Newbury Street Trust","Fidelity Tax-exempt Money Market Fund","Fidelity Tax-exempt Money Market Fund",0.0042,"1031","Muni",1185966613.94,"Retail",1,29,29,"2025-03-31",0.0263,"2025-03-31",0,0,0,0,0,0,0,0.42116,0.19929,0,0,0,0,0,0,0.09941,0,0.28015,0,0,1
