asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-02-24","MBB",,,0.0403,,39670774828,0.0414,0.0449,,,0.0353,5.1,6.1,0.0004,,"BlackRock"
"2026-02-25","MBB",,,0.0403,,39746326510,0.0414,0.0446,,,0.0353,5.17,6.12,0.0004,,"BlackRock"
"2026-02-26","MBB",,,0.0402,,39822569886,0.0413,0.0443,,,0.0354,5.19,6.12,0.0004,,"BlackRock"
"2026-02-27","MBB",,,0.0401,96.22,39526451383,0.0412,0.0453,,,0.0354,5.24,6.24,0.0004,,"BlackRock"
"2026-03-02","MBB",,,0.0403,96.07,39466113320,0.045,0.0453,,,0.0354,5.24,6.24,0.0004,,"BlackRock"
"2026-03-03","MBB",,,0.0404,95.99,39374634926,0.045,0.0458,,,0.0354,5.28,6.29,0.0004,,"BlackRock"
"2026-03-04","MBB",,,0.0404,95.71,39260968112,0.0417,0.0458,,,0.0354,5.28,6.29,0.0004,,"BlackRock"
"2026-03-05","MBB",,,0.0405,95.68,39246219284,0.0419,0.0465,,,0.0353,5.27,6.31,0.0004,,"BlackRock"
"2026-03-11","MBB",,,0.0407,95.03,38875635542,0.042,,,,0.0353,5.36,6.54,0.0004,,"BlackRock"
"2026-03-12","MBB",,,0.0408,94.94,38840858936,0.0422,,,,0.0353,5.38,6.58,0.0004,,"BlackRock"
"2026-03-13","MBB",,,0.0408,95.39,39025428247,0.0422,,,,0.0353,5.33,6.47,0.0004,,"BlackRock"
"2026-03-19","MBB",,,0.0408,94.29,38470857897,0.0421,,,,0.0353,5.41,6.79,0.0004,,"BlackRock"
"2026-03-20","MBB",,,0.0412,94.68,38628209095,0.0425,,,,0.0353,5.38,6.71,0.0004,,"BlackRock"
"2026-03-23","MBB",,,0.0411,94.34,38491403753,0.0423,,,,0.0353,5.42,6.8,0.0004,,"BlackRock"
"2026-03-24","MBB",,,0.0412,94.81,38661565622,0.0425,,,,0.0353,5.36,6.69,0.0004,,"BlackRock"
"2026-03-25","MBB",,,0.041,94.14,38392291653,0.0422,,,,0.0353,5.43,6.86,0.0004,,"BlackRock"
"2026-03-26","MBB",,,0.0413,94.21,38419167999,0.0425,,,,0.0353,5.5,6.9,0.0004,,"BlackRock"
"2026-03-27","MBB",,,0.0413,94.77,38645598053,0.0425,,,,0.0353,5.45,6.78,0.0004,,"BlackRock"
"2026-03-30","MBB",,,0.0411,95.04,38758678553,0.0423,,,,0.0354,5.46,6.74,0.0004,,"BlackRock"
"2026-03-31","MBB",,,0.041,94.73,38629395051,0.0421,,,,0.0354,5.46,6.74,0.0004,,"BlackRock"
"2026-04-01","MBB",,,0.0411,94.91,38705901677,0.0458,,,,0.0354,5.41,6.65,0.0004,,"BlackRock"
"2026-04-02","MBB",,,0.0411,94.84,38676873679,0.0422,,,,0.0354,5.37,6.62,0.0004,,"BlackRock"
"2026-04-06","MBB",,,0.0412,94.9,38701075297,0.0423,,,,0.0354,5.37,6.6,0.0004,,"BlackRock"
"2026-04-07","MBB",,,0.0411,95.17,38810629484,0.0422,,,,0.0354,5.32,6.49,0.0004,,"BlackRock"
"2026-04-08","MBB",,,0.041,95.22,38830034139,0.0421,,,,0.0354,5.31,6.46,0.0004,,"BlackRock"
"2026-04-09","MBB",,,0.041,95.1,38780541100,0.0421,,,,0.0354,5.33,6.49,0.0004,,"BlackRock"
"2026-04-10","MBB",,,0.0411,95.27,38849841693,0.0421,,,,0.0354,5.29,6.43,0.0004,,"BlackRock"
