asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,source
"2026-02-24","MUB",,,0.03122,"BlackRock"
"2026-02-25","MUB",,,0.03118,"BlackRock"
"2026-02-26","MUB",,,0.0311,"BlackRock"
"2026-02-27","MUB",,,0.03104,"BlackRock"
"2026-02-28","MUB",,,0.03104,"gapFiller (BlackRock)"
"2026-03-01","MUB",,,0.03104,"gapFiller (BlackRock)"
"2026-03-02","MUB",,,0.0311,"BlackRock"
"2026-03-03","MUB",,,0.03128,"BlackRock"
"2026-03-04","MUB",,,0.03129,"BlackRock"
"2026-03-05","MUB",,,0.03131,"BlackRock"
"2026-03-06","MUB",,,0.03131,"BlackRock"
"2026-03-07","MUB",,,0.03131,"gapFiller (BlackRock)"
"2026-03-08","MUB",,,0.03131,"gapFiller (BlackRock)"
"2026-03-09","MUB",,,0.03131,"gapFiller (BlackRock)"
"2026-03-10","MUB",,,0.03131,"gapFiller (BlackRock)"
"2026-03-11","MUB",,,0.03131,"gapFiller (BlackRock)"
"2026-03-12","MUB",,,0.03169,"BlackRock"
